sep=,
Name,Timestamp,Latitude,Longitude,Altitude Ellipsoid(m),Altitude MSL(m),Accuracy(m),Provider,Tags,Address,Photo,UTM Zone,UTM Easting,UTM Northing,EPSG:4326 X,EPSG:4326 Y
WPT 01,2024-08-12T14:47:15Z,55.78287428,12.51704279,77.00634765625,40.62450066834657,3.7900925,gps,N/A,N/A,N/A,33 U,344294.099,6184705.155,12.51704279,55.78287428,
WPT 02,2024-08-12T14:48:11Z,55.78330678,12.51719565,75.36767578125,38.986457402666325,3.7900925,gps,N/A,N/A,N/A,33 U,344305.408,6184752.929,12.51719565,55.78330678,
WPT 03,2024-08-12T14:49:53Z,55.78351913,12.51510737,80.33624267578125,43.954894045731955,3.7900925,gps,N/A,N/A,N/A,33 U,344175.332,6184781.250,12.515107370000003,55.78351913,
WPT 04,2024-08-12T14:50:55Z,55.78327924,12.514178,79.97015380859375,43.58828600131659,3.7900925,gps,N/A,N/A,N/A,33 U,344116.107,6184756.652,12.514178,55.78327924,
